"path","score","has_retail","has_mid","has_UK","has_cost_uk_v1"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\services\cost_engine_service.py","8","True","True","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\cost12_gap_fix_20260524\COST12_GAP_FIX_INPUT.yaml","8","True","True","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tests\test_cost_preview_readonly.py","7","True","True","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\schemas\cost.py","7","True","True","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\db\models.py","7","True","False","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tmp\chatgpt_handoff\cost50_chatgpt_handoff_20260512_175335\app\schemas\cost.py","6","False","True","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tmp\chatgpt_handoff\cost50_chatgpt_handoff_20260512_175335\app\services\cost_engine_service.py","6","False","False","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\app\etl\run_cost_engine_pilot.py","6","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\alembic\versions\0008_cost_engine_postgres.py","6","False","False","True","True"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_archive_union_market_input.csv","5","True","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tools\cost_uk_real_engine\scripts\estimate_cost_uk.py","5","False","False","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\parcel_location_evidence_wave_20260516\LOCAL_GEOSPATIAL_FILE_INVENTORY.csv","5","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\LOCAL_GEOSPATIAL_FILE_INVENTORY.csv","5","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv","5","True","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tools\cost_uk_real_engine\config\building_type_rate_card_uk.csv","5","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260426T092132Z.json","4","True","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tmp\sh106944_smoke2\delta_20260517_213517\05_changed_rows.csv","4","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260426T092329Z.json","4","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260425T233510Z.json","4","True","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tmp\sh106944_smoke\master\master_sales_rows.csv","4","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\tmp\sh106944_smoke\delta_20260517_212713\05_changed_rows.csv","4","False","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\raw\market_listing_adapter\20260425T233440Z.json","4","True","True","True","False"
"C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\data\live_feeds\drops\market\repo_review_needed_candidate_batch.csv","4","True","True","True","False"
