candidate_id,source_file,source_type,matched_terms,candidate_text_excerpt,phone_like_present,email_like_present,url_like_present,postcode_like_present,truth_score_source_4,notes
EA-CAND-000001,E:\AAYS_DATA\estate_agents\estate_agent_candidates_from_local_artifacts_003.csv,csv,agent;estate;property;branch;company;firm;contact;phone;website;postcode,"candidate_id,source_file,source_type,matched_terms,candidate_text_excerpt,phone_like_present,email_like_present,url_like_present,postcode_like_present,truth_score_source_4,notes EA-CAND-000001,C:\AAYS_GITHUB_BRIDGE_CLEAN2\PLAN_L_OPEN_ITEMS.md,md,firm,# Plan L Open Items Final delivery is accepted by manifest and evidence pack. Confirmed: - rows: 34864 - features: 34864 - rows match features: true - final closure: 100/100 - read-only delivery: preserved Open technical items: - ZIP packaging rema",False,False,True,True,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000002,C:\AAYS_GITHUB_BRIDGE_CLEAN2\PLAN_L_OPEN_ITEMS.md,md,firm,# Plan L Open Items Final delivery is accepted by manifest and evidence pack. Confirmed: - rows: 34864 - features: 34864 - rows match features: true - final closure: 100/100 - read-only delivery: preserved Open technical items: - ZIP packaging remains unreliable on the runner. - Confidence is still uniform at score 3. - QA scripts expect both old and new column names. Recommended next step: - Add a small compatibility layer that writes both column families in the CSV and Geo,False,False,False,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000003,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\gov_pipeline.html,html,property;firm;contact;website," <!DOCTYPE html> <html class=""govuk-template govuk-template--rebranded"" lang=""en"">   <head>     <meta charset=""utf-8"">     <title lang=""en"">UK Infrastructure Pipeline - GOV.UK</title>     <script src=""/assets/frontend/govuk_publishing_components/vendor/lux/lux-measurer-d66192b1b665d415e1874e49a48138b7ae339548aa6cdb8687c7f9933e72b969.js"" async=""async""></script>     <script src=""/assets/frontend/govuk_publishing_components/rum-custom-data-b9e1806d1da2fa8ef1855d01aa71ba5eb0afc010dd2c4de3",False,False,True,True,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000004,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\nista_portal.html,html,property;firm;website," <!DOCTYPE html> <html>     <head>         <meta name=""description"" content="""">       <meta property=""twitter:card"" content=""summary_large_image"">       <meta property=""twitter:url"" content=""http://pipeline.internal.nista.grid.civilservice.gov.uk/"">       <meta property=""twitter:title"" content=""Dash"">       <meta property=""twitter:description"" content="""">       <meta property=""twitter:image"" content="""">       <meta property=""og:title"" content=""Dash"">       <meta property=""og:type"" con",True,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000005,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_eastern.html,html,company;contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000006,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_east_midlands.html,html,contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000007,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_london.html,html,contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000008,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_north_east.html,html,contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000009,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_north_west.html,html,contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
EA-CAND-000010,C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-data\ty147-england-planned-structures\raw\pip_projects.html,html,branch;company;contact,"<!DOCTYPE html> <html lang=""en"" class=""govuk-template"">   <head>     <meta charset=""utf-8"">     <title> 	Project search </title>     <meta name=""viewport"" content=""width=device-width, initial-scale=1, viewport-fit=cover"">     <meta name=""theme-color"" content=""#0b0c0c"">       <link rel=""icon"" sizes=""48x48"" href=""/assets/images/favicon.ico"">       <link rel=""icon"" sizes=""any"" href=""/assets/images/favicon.svg"" type=""image/svg+xml"">       <link rel=""mask-icon"" href=""/assets/images/govuk",False,False,True,False,2,local artifact candidate; requires row-level verification before final agent directory
